# 成約事例(個別)。出典: 国交省「不動産取引価格情報」の再掲サイト utinokati.com (取得 2026-08-09)
# 2022年以降の事例のみ収載(時点修正モデルが年率+10%前提のため、それ以前は補正誤差が大きい)。
# date は取引四半期の中間月15日。ppt_man は掲載の坪単価。shape/zoning は掲載属性の転記。
# 収載ルール: 出典ページに実在するレコードのみ。推測・補完での行追加は禁止。
# 2026-08-13: 探索エリア拡張で6地区(王子本町・岸町・滝野川・上中里・西ケ原・中里)の土地成約109件を追加。
#   地域区分が「住宅地」のレコードに限定した(商業地・工業地の坪単価を混ぜると住宅地の土地単価較正が歪むため)。
date,area,district,price_man,land_tsubo,ppt_man,walk_min,shape,zoning,source_url
2025-08-15,akabane-nishi,赤羽西,2500,21.2,118,10,長方形,1中住専,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-赤羽西/
2024-11-15,akabane-nishi,赤羽西,2000,21.2,94.5,10,ほぼ台形,1中住専,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-赤羽西/
2025-11-15,shimo,志茂,4700,28.7,164,6,ほぼ長方形,1中住専,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-志茂/
2024-05-15,shimo,志茂,5800,28.7,202,6,ほぼ長方形,1種住居,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-志茂/
2022-05-15,shimo,志茂,5900,30.3,195,6,ほぼ長方形,1種住居,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-志茂/
2023-08-15,jujo-nakahara,十条仲原,6900,25.7,268,8,ほぼ正方形,1種住居,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-十条仲原/
2024-11-15,jujo-nakahara,十条仲原,5300,25.7,206,8,ほぼ台形,近隣商業,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-十条仲原/
2023-11-15,nakajujo,中十条,4300,22.7,190,5,ほぼ台形,1種住居,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-中十条/
2023-11-15,akabanedai,赤羽台,3900,22.7,172,9,台形,1中住専,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-赤羽台/
2023-02-15,akabanedai,西が丘,5400,33.3,162,14,ほぼ長方形,2低住専,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-西が丘/
2022-11-15,akabanedai,西が丘,5200,31.8,164,14,ほぼ長方形,1中住専,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-西が丘/
2024-05-15,akabanedai,西が丘,6600,30.3,218,15,ほぼ長方形,2低住専,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-西が丘/
2024-03-15,oji-honcho,王子本町,2000,16.6,120.2,11,ほぼ長方形,1種住居,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-王子本町/
2023-03-15,oji-honcho,王子本町,17000,36.3,468.3,9,長方形,1種住居,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-王子本町/
2025-09-15,kishimachi,岸町,4200,21.2,198.3,6,不整形,1中住専,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-岸町/
2025-09-15,kishimachi,岸町,4600,21.2,217.2,8,ほぼ長方形,1種住居,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-岸町/
2024-12-15,kishimachi,岸町,2400,13.6,176.3,7,長方形,1種住居,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-岸町/
2024-06-15,kishimachi,岸町,1800,10.6,170,8,長方形,1種住居,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-岸町/
2025-12-15,takinogawa,滝野川,5800,16.6,348.6,8,長方形,1中住専,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-滝野川/
2025-12-15,takinogawa,滝野川,3200,15.1,211.6,8,ほぼ長方形,1中住専,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-滝野川/
2025-09-15,takinogawa,滝野川,5300,30.3,175.2,8,ほぼ台形,1中住専,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-滝野川/
2025-06-15,takinogawa,滝野川,3300,21.2,155.8,7,ほぼ長方形,1種住居,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-滝野川/
2025-06-15,takinogawa,滝野川,5700,59,96.6,2,不整形,1中住専,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-滝野川/
2025-06-15,takinogawa,滝野川,3600,15.1,238,6,ほぼ長方形,1中住専,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-滝野川/
2025-06-15,takinogawa,滝野川,4600,19.7,233.9,6,ほぼ台形,1中住専,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-滝野川/
2025-06-15,takinogawa,滝野川,9000,45.4,198.3,8,ほぼ長方形,1中住専,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-滝野川/
2025-03-15,takinogawa,滝野川,2700,16.6,162.3,7,ほぼ長方形,1種住居,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-滝野川/
2025-03-15,takinogawa,滝野川,3000,15.1,198.3,7,ほぼ長方形,1種住居,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-滝野川/
2024-12-15,takinogawa,滝野川,15000,49.9,300.5,4,長方形,1中住専,https://utinokati.com/details/土地相場・不動産相場/エリア/東京都-北区-滝野川/
