# 中古戸建の成約事例(国交省 不動産取引価格情報の再掲サイト utinokati.com、取得 2026-08-10)。
# 2022Q1以降の北区18地区・全767件。原データ由来の丸め(価格100万円単位・面積5m2単位)あり。
# age_y は取引時点の築年数。リテール比較(engine/retail.js)の事例プールとして使用。
# shape は出典ページ(listings)の「土地形状」列の転記。2026-08-13に追加した。
# **空欄は出典に記載が無い行**(推測で埋めない)。値の語彙は 長方形/ほぼ長方形/正方形/ほぼ正方形/
# 台形/ほぼ台形/ほぼ整形/不整形/やや不整形/旗竿地/袋地等。同一諸元で表記が割れる行(6件)も空にした。
# road_type / breadth_m は**国土交通省 不動産情報ライブラリAPI(一次ソース)**由来。2026-08-13に追加。
#   road_type: private=私道 / public=区道・都道・国道・公道 / 空=原データに記載なし
#   breadth_m: 前面道路の幅員(m)。原データに幅員0のレコードが1件あるが、幅0の道路は事実ではなく
#     「不明」の符号化とみて空欄に戻した(推測で値を作らない方針の裏返し)。
# 突き合わせは (四半期・地区・価格・土地面積・延床) で行い767行中759行が一致。形状はAPIと再掲サイトで
# **447件すべて一致・不一致ゼロ**だったため、照合の妥当性はこの一致率で担保されている。
# 形状の欠測はAPIでも埋まらない(原データで「地域」区分が空のレコードは形状も間口も記録されていない)。
# 収載ルール: 再掲サイトの掲載レコードのみ。推測・補完での行追加は禁止。
# 除外ルール: 延床300m2超・土地400m2超・3億円超は共同住宅/ビルの疑いが強いため除外(戸建比較の事例プールとして不適)。
# 2026-08-13: 探索エリア拡張(docs/area-expansion-2026-08.md)に伴い 王子本町・岸町・滝野川・上中里・西ケ原・中里 の6地区を追加(286件)。
#   取得日 2026-08-13。収載/除外ルールは既存12地区と同一(新規地区だけに追加の絞り込みは掛けない=プールの一貫性を保つため)。
quarter,district,price_man,land_m2,floor_m2,age_y,walk_min,shape,road_type,breadth_m,source_url
2022Q3,上十条,3700,45,50,36.5,5,,private,3.3,https://utinokati.com/details/house/place/13117-U0002/
2022Q3,中十条,8800,145,140,29.5,3,ほぼ長方形,public,3.6,https://utinokati.com/details/house/place/13117-U0003/
2022Q3,十条仲原,6000,65,110,0.5,10,,private,3.3,https://utinokati.com/details/house/place/13117-U0005/
2022Q3,十条仲原,5400,80,90,0.5,10,,private,3.3,https://utinokati.com/details/house/place/13117-U0005/
2022Q3,十条仲原,6200,65,115,0.5,10,,private,3.3,https://utinokati.com/details/house/place/13117-U0005/
2022Q3,十条仲原,5300,80,90,0.5,10,,private,3.3,https://utinokati.com/details/house/place/13117-U0005/
2022Q3,十条仲原,5800,65,110,0.5,10,,private,3.3,https://utinokati.com/details/house/place/13117-U0005/
2022Q3,十条仲原,7800,100,110,0.5,11,長方形,public,2.7,https://utinokati.com/details/house/place/13117-U0005/
2022Q3,志茂,5300,115,100,19.5,5,,private,3.7,https://utinokati.com/details/house/place/13117-U0010/
2022Q3,志茂,6200,100,100,0.5,15,,private,4,https://utinokati.com/details/house/place/13117-U0010/
2022Q3,西が丘,7500,165,110,32.5,14,ほぼ長方形,private,4,https://utinokati.com/details/house/place/13117-U0023/
2022Q3,赤羽,5200,50,95,0.5,10,,,,https://utinokati.com/details/house/place/13117-U0026/
2022Q3,赤羽,5600,70,90,0.5,3,ほぼ台形,,,https://utinokati.com/details/house/place/13117-U0026/
2022Q3,赤羽北,5000,70,105,14.5,10,,public,4,https://utinokati.com/details/house/place/13117-U0027/
2022Q3,赤羽台,2600,70,70,59.5,13,正方形,,,https://utinokati.com/details/house/place/13117-U0029/
2022Q3,赤羽台,7700,105,105,-0.5,10,台形,public,3.4,https://utinokati.com/details/house/place/13117-U0029/
2022Q3,赤羽台,5700,60,95,0.5,5,ほぼ台形,public,3.6,https://utinokati.com/details/house/place/13117-U0029/
2022Q3,赤羽西,3000,330,105,46.5,15,,,,https://utinokati.com/details/house/place/13117-U0030/
2022Q4,上十条,6600,80,105,16.8,15,,private,4,https://utinokati.com/details/house/place/13117-U0002/
2022Q4,上十条,6300,60,100,0.8,15,,public,3.3,https://utinokati.com/details/house/place/13117-U0002/
2022Q4,中十条,6300,65,75,0.8,4,ほぼ長方形,private,2.7,https://utinokati.com/details/house/place/13117-U0003/
2022Q4,中十条,2300,45,60,57.8,2,ほぼ長方形,public,2,https://utinokati.com/details/house/place/13117-U0003/
2022Q4,中十条,3000,55,80,50.8,3,ほぼ長方形,private,1.5,https://utinokati.com/details/house/place/13117-U0003/
2022Q4,十条仲原,6000,65,90,0.8,6,ほぼ整形,private,2.6,https://utinokati.com/details/house/place/13117-U0005/
