captured_at,media,source_id,listing_count,district,chome,rent_man,kanri_man,total_man,area_m2,layout,rooms,has_ldk,built_year,built_month,age_y,seismic,walk_min,walk_lines,structure,contract_type,contract_years,shiki_months,rei_months,shikibiki_raw,madori_detail,parking,toilet2,building_type,source_url
2026-08-19,suumo,jnc_000084170518,1,志茂,4,8.5,0.5,9,39.48,2K,2,0,1966,2,60,old,8,東京メトロ南北線/志茂駅:8 JR京浜東北線/赤羽駅:17 東京メトロ南北線/赤羽岩淵駅:17,木造,teiki,2,1,1,8.5万円,洋9.5 洋7 K2,,,一戸建て,https://suumo.jp/chintai/jnc_000084170518/
2026-08-19,suumo,jnc_000087584468 jnc_000087608212 jnc_000087631556 jnc_000106979238 jnc_000108798114,5,浮間,3,22.8,0,22.8,72.33,1SLDK,2,1,2023,4,3,new,9,JR埼京線/北赤羽駅:9 JR埼京線/浮間舟渡駅:17 都営三田線/志村坂上駅:20,木造,futsu,2,1,1,,洋4.3 LDK14.1 納戸 6-5.3,,1,一戸建て,https://suumo.jp/chintai/jnc_000087584468/
2026-08-19,suumo,jnc_000090050331,1,昭和町,2,12,0,12,23.14,1SDK,2,0,1936,1,90,old,4,JR高崎線/尾久駅:4 都電荒川線/荒川車庫前駅:6 JR京浜東北線/上中里駅:17,木造,teiki,4,1,0,,洋3 D4.5K1.6 納戸 1.5,,,一戸建て,https://suumo.jp/chintai/jnc_000090050331/
2026-08-19,suumo,jnc_000090312527,1,西ケ原,4,25,0,25,77.55,3LDK,3,1,2024,3,2,new,9,東京メトロ南北線/西ケ原駅:9 都営三田線/西巣鴨駅:13 JR京浜東北線/上中里駅:17,木造,futsu,2,1,1,,洋6.1 洋6.1 洋4.5 LDK15.7,,,一戸建て,https://suumo.jp/chintai/jnc_000090312527/
2026-08-19,suumo,jnc_000098040247 jnc_000106501509,2,堀船,1,24,0,24,108.5,4LDK,4,1,1977,11,49,old,5,JR京浜東北線/王子駅:7 都電荒川線/栄町駅:5 都電荒川線/王子駅前駅:8,鉄筋コン,teiki,2,1,1,,,付無料,,一戸建て,https://suumo.jp/chintai/jnc_000098040247/
2026-08-19,suumo,jnc_000102725855,1,西が丘,2,12.5,0,12.5,56.58,5K,5,0,1959,11,67,old,11,JR埼京線/十条駅:13 都営三田線/板橋本町駅:11 JR京浜東北線/東十条駅:18,木造,futsu,2,1,0,,洋9 洋8 洋6 洋4.5 洋4 K3,,,一戸建て,https://suumo.jp/chintai/jnc_000102725855/
2026-08-19,suumo,jnc_000102777863,1,豊島,7,12,0,12,39.58,2DK,2,0,1994,7,32,new,12,東京メトロ南北線/王子神谷駅:12 都電荒川線/王子駅前駅:22 東京メトロ南北線/王子駅:21,木造,futsu,2,1,1,,,近隣1159m27500円,,一戸建て,https://suumo.jp/chintai/jnc_000102777863/
2026-08-19,suumo,jnc_000103611434,1,豊島,7,13.2,0,13.2,39.58,3DK,3,0,1973,1,53,old,12,東京メトロ南北線/王子神谷駅:12 都電荒川線/王子駅前駅:22,木造,teiki,2,2,4,,,,,一戸建て,https://suumo.jp/chintai/jnc_000103611434/
2026-08-19,suumo,jnc_000103658487 jnc_000103663310,2,滝野川,2,12,0,12,39.42,2K,2,0,1963,1,63,old,5,JR京浜東北線/王子駅:12 都営三田線/西巣鴨駅:11 都電荒川線/西ヶ原四丁目駅:9,木造,,,1,1,,洋7.5 洋6,,,一戸建て,https://suumo.jp/chintai/jnc_000103658487/
2026-08-19,suumo,jnc_000103929549,1,豊島,7,12,0,12,39.58,3DK,3,0,1973,1,53,old,15,東京メトロ南北線/王子神谷駅:15 JR京浜東北線/王子駅:19 都電荒川線/梶原駅:19,木造,futsu,2,1,1,,洋6.5 洋5.1 洋3 K4.5 ロフト 5,,,一戸建て,https://suumo.jp/chintai/jnc_000103929549/
2026-08-19,suumo,jnc_000104055386,1,上十条,5,18,0.5,18.5,63.99,4K,4,0,1989,2,37,new,13,JR埼京線/十条駅:13 JR京浜東北線/東十条駅:13 都営三田線/板橋本町駅:20,木造,teiki,2,1,1,,和4.5 洋6 洋6 洋6 K5.5,付無料,,一戸建て,https://suumo.jp/chintai/jnc_000104055386/
2026-08-19,suumo,jnc_000104519324,1,神谷,3,10,0,10,32,3DK,3,0,1983,1,43,new,10,東京メトロ南北線/志茂駅:10 JR京浜東北線/赤羽駅:20 東京メトロ南北線/王子神谷駅:12,木造,futsu,2,1,1,,和6 和6 洋6 DK6,近隣792m27324円,,一戸建て,https://suumo.jp/chintai/jnc_000104519324/
2026-08-19,suumo,jnc_000105258604,1,上十条,5,19,1,20,74.79,3LDK,3,1,1997,2,29,new,12,JR埼京線/十条駅:12 JR京浜東北線/東十条駅:15 JR京浜東北線/赤羽駅:22,鉄骨,futsu,2,1,1,,洋8.6 洋6 洋4.4 LDK10.1 グルニエ 2.9,,,一戸建て,https://suumo.jp/chintai/jnc_000105258604/
